period,units_shipped,book_to_bill
2023-09,19,1.1
2023-10,16,1.07
2023-11,19,1.06
2023-12,22,1.12
2024-01,17,1.11
2024-02,17,1.07
2024-03,21,0.99
2024-04,18,1.0
2024-05,17,0.97
2024-06,17,0.95
2024-07,17,0.96
2024-08,15,0.91
2024-09,16,0.93
2024-10,14,0.89
2024-11,13,0.91
2024-12,13,0.94
2025-01,13,0.86
2025-02,12,0.94
2025-03,17,0.96
2025-04,14,0.98
2025-05,15,1.02
2025-06,18,1.14
2025-07,20,1.04
2025-08,19,1.15
2025-09,22,1.02
2025-10,21,1.09
2025-11,23,1.11
2025-12,26,1.12
2026-01,24,1.11
2026-02,24,1.09
2026-03,28,1.0
2026-04,22,0.97
2026-05,21,1.01
2026-06,22,0.93
2026-07,21,0.85
2026-08,20,0.84
